label,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9
3,82.66681183200059,85.66848762466142,46.36354943560343,31.630483862124365,53.81600681502561,128.08608039507047,164.2909580960031,126.51681905837009,59.798766447832065,7.036920513099408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,82.55884124739818,85.55741572464602,46.27498975229014,31.5380585091741,53.83370328374408,128.0350326969917,164.29084032071674,126.53762374905541,59.89626078235835,7.02331945971532,-6.468972478234219,-6.654785346867267,-5.305983626414712,-5.537592175943337,1.0602699755980827,-3.0584825965778015,-0.0070564134560844064,1.2464966449624102,5.841296211896057,-0.8148963936858438
3,82.52596856226593,85.49491335875648,46.244612260980915,31.536890832558903,53.88315939856892,127.97438262453052,164.3002233064635,126.48781766227022,59.98532829249337,7.018491702614679,-1.969541020725514,-3.7447799903358483,-1.8200434494338995,-0.06996042408216038,2.9631241403424524,-3.633801289480711,0.5621741957119986,-2.984092434512757,5.336409670189403,-0.28925126163432513
3,83.56541029285285,88.45406790567037,49.10863434999954,35.699063292852664,50.02532469319061,130.2747917537933,165.1100943143321,123.3034777860707,67.29199614597428,5.486405687305145,62.277332040532954,177.295412387717,171.59562615262874,249.3732824958985,-231.13912577733188,137.82719988669132,48.52278312758786,-190.78721390953865,437.77324560962444,-91.79372607660632
3,84.24069632084937,90.29333302040736,51.46398469239484,38.71389732256929,48.52450028798832,132.14902160209672,165.44498037004536,121.02901515213811,70.22008256645681,4.9072631137978755,40.459230133204095,110.19811971217226,141.11895936899708,180.63140471543784,-89.92071134621737,112.29300416596115,20.064434083884223,-136.27263606900246,175.43399007927184,-34.69887083401555
3,84.69055942997454,91.10935002455929,52.14734489877623,39.72358735432822,47.6807748030773,132.67379600589024,165.69241306419096,120.19504062257522,71.62420681236298,4.632445653689807,26.953193618612758,48.89101565086853,40.942988167380136,60.49478245438708,-50.55114743680144,31.441444796494725,14.824734852898759,-49.96692663244267,84.12699751729842,-16.465471521931555
3,84.34256642622854,91.11114697021803,51.04197214643286,38.778002924347994,47.47735013323756,133.7126454494084,165.49382940800936,119.50683641528649,72.43156929124251,4.730264215228276,-20.849726544878006,0.10766258286063027,-66.22753724480154,-56.65394584936023,-12.188028762027864,62.24184562762612,-11.897983244199033,-41.23321266389014,48.37248659033291,5.860722017788151
3,84.37328375517329,91.28444665655859,50.9457505264447,38.712904643115586,47.306002469018956,134.3255472881635,165.4126257128241,119.17550786266189,72.4822077158075,4.7167269278402255,1.8404045535193896,10.38311411901561,-5.765042523448878,-3.900312212104053,-10.266160252086657,36.72153060359868,-4.865255395427186,-19.85128909021215,3.03396129657305,-0.8110759042911557
3,83.4498531967415,89.4535532847363,49.45649938350464,37.65207150359209,48.34623774092561,134.93450755658193,165.20622997772475,117.19829852240221,72.2349373086669,5.031342561185113,-55.326614096356586,-109.6965333337202,-89.22730845937095,-63.558981447090844,62.32487644326658,36.48537452346917,-12.366037795379938,-118.46293926208568,-14.81501155490267,18.849947704041867
3,82.75622899518908,88.70902819534388,49.03042466748838,37.347617588998524,48.80198941200439,135.12402311006466,165.0422168464718,116.3952257533723,72.31604294308858,5.1747545927518,-41.55794734837025,-44.60763392520199,-25.527930794579163,-18.241116334128293,27.306002166927236,11.354675018122053,-9.826717490243166,-48.11547200567581,4.859380162065168,8.592418839527365
3,83.15919547140724,88.56284904944233,49.139227552291516,37.23619928053827,48.82213103736677,134.44518883572883,164.95697522293577,116.03995848758007,73.18061648525227,5.1866658961263825,24.143418820093206,-8.7582083139682,6.518839088773695,-6.675540135814667,1.2067696087408208,-40.67182051603376,-5.1071846900261395,-21.28555822208766,51.80024235546703,0.71365635366165
3,83.3261722548915,88.43674396170339,49.54773945095033,37.43008910600633,48.68200232476789,134.24792717483805,164.89847795892732,115.99976958110537,73.38456908267297,5.219780723190872,10.004282377846902,-7.555486940749105,24.47566843493811,11.616756076492143,-8.395701371355667,-11.818776938294693,-3.5048174677959336,-2.4078866560970074,12.21965912694873,1.9840487637489335
3,82.09887453066042,86.35254624455317,48.523176588702455,36.61327588143452,48.31425060199313,133.11266363689373,165.16807250865358,115.80447520221935,73.85462936030558,4.92465717417224,-73.5325758389284,-124.87306353940109,-61.38587637094529,-48.93872056977559,-22.03355462243189,-68.01842010532701,16.15254496290076,-11.700908787514967,28.16329105111243,-17.682094834537704
3,83.53055897132543,86.06771255088695,48.82539981201368,36.126809030126765,48.373396732146496,132.16289636006954,165.38404148994172,115.587021354343,73.80907679326607,4.83901234999,85.77824486439937,-17.065586261161812,18.107466224090935,-29.146277981834654,3.5436937714573733,-56.904557821259196,12.93961129551999,-13.028575906838691,-2.7292461514088107,-5.131342138956425
3,83.6407369383284,85.17533115299454,51.71732519711378,36.677173817230624,48.31571669361475,131.98457177555204,165.66995616840114,114.32091021596432,75.96067050759444,5.560714654054762,6.601226054990494,-53.466328114381355,173.26743014505666,32.97467244318827,-3.4558540474642836,-10.684176932857566,17.13035261305649,-75.85805095635685,128.91104159142395,43.24022473032762
3,83.96526723588879,84.73258638000175,52.924537162919606,36.88283623493654,48.42292042891259,131.74932566288015,165.84881615340288,113.73911168334182,76.90299935357717,5.8301050414281494,19.4439769961604,-26.52670411963721,72.32915345369366,12.32210166172384,6.423027306551397,-14.094585428891198,10.716255030888878,-34.858000531080826,56.45889010007522,16.140312736440965
3,83.52971104099984,84.10351808130773,53.530491387677365,38.80689882436318,49.39967166222708,131.9706483844493,165.6100249685405,109.96239848583282,79.82351373677056,5.804940063032409,-26.09600612830295,-37.69013130906327,36.305269786787,115.27869357412816,58.52128030666942,13.260376424846605,-14.306985635096309,-226.27879457016238,174.98031743307877,-1.507739846522672
3,83.47525449595342,84.01882968779883,53.80712582062053,39.80278321813222,49.68193292370191,132.06861171214115,165.58290735071074,108.57773429858658,80.80916367502685,5.751003884418074,-3.2627209759235165,-5.074038348984642,16.57433401727878,59.66762853529024,16.91146101390604,5.869395567768511,-1.624730699217381,-82.96106344035073,59.05443919964388,-3.2315436312777206
3,86.66135622295799,88.83010609812459,59.3049586618269,43.170992937660465,49.34612668684705,134.4745504351921,165.29229638538456,102.92457915523983,81.7166546039815,6.68113117264143,190.89277381190107,288.26383406355484,329.3983215026658,201.80363065351364,-20.119566011731433,144.14992232418467,-17.41172693924763,-338.70433481640333,54.37160375923,55.72784338371609
